Run,n,Processes,Distribution,Open MPI Run Time (s)
1,60000000,4,cyclic,1.069974
2,65000000,4,cyclic,1.181789
3,70000000,4,cyclic,1.375502
4,75000000,4,cyclic,1.456161
5,80000000,4,cyclic,1.615905
6,85000000,4,cyclic,1.674537
7,90000000,4,cyclic,1.801648
8,95000000,4,cyclic,2.013106
9,100000000,4,cyclic,2.063998
10,105000000,4,cyclic,2.212193
11,110000000,4,cyclic,2.320648
12,115000000,4,cyclic,2.425468
13,120000000,4,cyclic,2.596771
14,125000000,4,cyclic,2.788685
15,130000000,4,cyclic,2.827551
16,135000000,4,cyclic,3.069550
17,140000000,4,cyclic,3.233088
18,145000000,4,cyclic,3.329887
19,150000000,4,cyclic,3.473339
20,155000000,4,cyclic,3.432184
21,160000000,4,cyclic,3.592096
22,165000000,4,cyclic,3.765608
23,170000000,4,cyclic,3.915290
24,175000000,4,cyclic,4.004266
25,180000000,4,cyclic,4.162913
26,185000000,4,cyclic,4.298494
27,190000000,4,cyclic,4.482759
28,195000000,4,cyclic,4.641560
29,200000000,4,cyclic,4.764993
30,205000000,4,cyclic,4.969944
