Run,n,Threads,OpenMP Run Time (s)
1,60000000,4,1.130736
2,65000000,4,1.210004
3,70000000,4,1.309872
4,75000000,4,1.417740
5,80000000,4,1.535263
6,85000000,4,1.697814
7,90000000,4,1.774906
8,95000000,4,1.936219
9,100000000,4,2.025366
10,105000000,4,2.191519
11,110000000,4,2.294954
12,115000000,4,2.439668
13,120000000,4,2.538679
14,125000000,4,2.725914
15,130000000,4,2.831605
16,135000000,4,2.937246
17,140000000,4,3.125064
18,145000000,4,3.213944
19,150000000,4,3.393300
20,155000000,4,3.516696
21,160000000,4,3.632167
22,165000000,4,3.811179
23,170000000,4,3.924210
24,175000000,4,4.109772
25,180000000,4,4.241419
26,185000000,4,4.357412
27,190000000,4,4.548478
28,195000000,4,4.842976
29,200000000,4,4.849761
30,205000000,4,5.084539
